#Coordinate, 61.46667_2.16667
YY,MM,DD,HH,Min,CD317,CS317
1984,7,15,18,20,196.9,1.1
1984,7,15,18,30,154.6,1.1
1984,7,15,18,40,145,1.1
1984,7,15,18,50,106.8,1.7
1984,7,15,19,00,102.2,4.8
1984,7,15,19,10,97.4,5.1
1984,7,15,19,20,97.7,5.7
1984,7,15,19,30,101.2,6.4
1984,7,15,19,40,92.5,6.4
1984,7,15,19,50,102.9,6.4
1984,7,15,20,00,101.6,7.3
1984,7,15,20,10,100.5,8.6
1984,7,15,20,20,107.8,8.6
1984,7,15,20,30,108.9,8.9
1984,7,15,20,40,112.4,9.5
1984,7,15,20,50,107.5,9.8
1984,7,15,21,00,102.3,11.1
1984,7,15,21,10,106.8,11.1
1984,7,15,21,20,110.7,12
1984,7,15,21,30,113.8,12.6
1984,7,15,21,40,113.8,13.2
1984,7,15,21,50,118.4,12.9
1984,7,15,22,00,118,12.9
1984,7,15,22,10,118,13.6
1984,7,15,22,20,122.5,14.5
1984,7,15,22,30,123.2,14.8
1984,7,15,22,40,122.2,15.4
1984,7,15,22,50,121.8,17.3
1984,7,15,23,00,125.3,17.6
1984,7,15,23,10,128.4,17.3
1984,7,15,23,20,131.6,16.4
1984,7,15,23,30,132.3,16.1
1984,7,15,23,40,131.3,16.7
1984,7,15,23,50,132.3,17.6
1984,7,16,0,00,136.2,17.6
1984,7,16,0,10,140.4,17.3
1984,7,16,0,20,141,17.3
1984,7,16,0,30,144.9,18.2
1984,7,16,0,40,145.6,17.9
1984,7,16,0,50,146.6,18.2
1984,7,16,1,00,146.6,19.2
1984,7,16,1,10,147.3,18.9
1984,7,16,1,20,150.1,18.9
1984,7,16,1,30,150.1,18.6
1984,7,16,1,40,147,17.9
1984,7,16,1,50,148.4,18.2
1984,7,16,2,00,150.1,18.9
1984,7,16,2,10,146.3,17.9
1984,7,16,2,20,147.3,17
1984,7,16,2,30,151.5,16.4
1984,7,16,2,40,157.5,15.1
1984,7,16,2,50,158.8,14.8
1984,7,16,3,00,156.4,13.6
1984,7,16,3,10,159.2,13.9
1984,7,16,3,20,158.9,14.2
1984,7,16,3,30,161.6,13.2
1984,7,16,3,40,163,12.9
1984,7,16,3,50,165.5,12
1984,7,16,4,00,164.1,11.7
1984,7,16,4,10,161.6,11.1
1984,7,16,4,20,159.6,10.7
1984,7,16,4,30,155.4,10.4
1984,7,16,4,40,152.6,9.8
1984,7,16,4,50,154.3,9.2
1984,7,16,5,00,152.9,8.2
1984,7,16,5,10,147.7,7.3
1984,7,16,5,20,142.8,6.4
1984,7,16,5,30,140,5.7
1984,7,16,5,40,140,6.7
1984,7,16,5,50,135.1,6
1984,7,16,6,00,133,5.7
1984,7,16,6,10,126,4.8
1984,7,16,6,20,125.7,4.5
1984,7,16,6,30,116.9,3.9
1984,7,16,6,40,99.8,3.2
1984,7,16,6,50,87.8,3.9
1984,7,16,7,00,79.3,5.4
1984,7,16,7,10,75.8,6
1984,7,16,7,20,69.2,7.9
1984,7,16,7,30,65.3,9.2
1984,7,16,7,40,68.8,9.8
1984,7,16,7,50,66.7,11.1
1984,7,16,8,00,70.2,12
1984,7,16,8,10,69.8,12
1984,7,16,8,20,71.6,12.9
1984,7,16,8,30,74.4,13.9
1984,7,16,8,40,77.2,14.8
1984,7,16,8,50,81.7,16.1
1984,7,16,9,00,80.7,16.4
1984,7,16,9,10,84.5,16.4
1984,7,16,9,20,86.6,16.7
1984,7,16,9,30,88,16.7
1984,7,16,9,40,84.8,16.7
1984,7,16,9,50,82.1,16.4
1984,7,16,10,00,83.1,16.1
1984,7,16,10,10,86.6,16.1
1984,7,16,10,20,86.3,17.3
1984,7,16,10,30,86.6,17.9
1984,7,16,10,40,85.2,18.2
1984,7,16,10,50,84.2,17.9
1984,7,16,11,00,86.6,17.6
1984,7,16,11,10,90.8,18.6
1984,7,16,11,20,95.3,18.6
1984,7,16,11,30,98.4,18.9
1984,7,16,11,40,95.3,19.5
1984,7,16,11,50,96.3,19.2
1984,7,16,12,00,101.2,19.5
1984,7,16,12,10,100.9,19.8
1984,7,16,12,20,103.7,20.4
1984,7,16,12,30,107.2,20.7
1984,7,16,12,40,105.4,21.1
1984,7,16,12,50,109.6,20.7
1984,7,16,13,00,115.2,20.8
1984,7,16,13,10,117.3,20.7
1984,7,16,13,20,123.2,20.1
1984,7,16,13,30,126.7,19.2
1984,7,16,13,40,130.9,18.6
1984,7,16,13,50,132.3,18.2
1984,7,16,14,00,129.9,16.7
1984,7,16,14,10,133,15.7
1984,7,16,14,20,134.4,16.1
1984,7,16,14,30,135.5,16.7
1984,7,16,14,40,135.4,16.4
1984,7,16,14,50,133.7,17
1984,7,16,15,00,148.3,15.4
1984,7,16,15,10,143.5,14.5
1984,7,16,15,20,148,15.1
1984,7,16,15,30,151.9,15.7
1984,7,16,15,40,157.1,15.1
1984,7,16,15,50,148.4,14.5
1984,7,16,16,00,154,14.8
1984,7,16,16,10,154.3,14.2
1984,7,16,16,20,155.4,12.9
1984,7,16,16,30,160.2,13.2
1984,7,16,16,40,160.9,12.9
1984,7,16,16,50,164.4,12.9
1984,7,16,17,00,167.2,12.3
1984,7,16,17,10,162.3,12.3
1984,7,16,17,20,165.9,12.3
1984,7,16,17,30,164.1,11.7
1984,7,16,17,40,156.1,12.3
1984,7,16,17,50,156,13.9
1984,7,16,18,00,156,12.9
1984,7,16,18,10,164.5,12.3
1984,7,16,18,20,160.6,11.4
1984,7,16,18,30,154.6,13.2
1984,7,16,18,40,156.4,13.2
1984,7,16,18,50,159.9,12.3
1984,7,16,19,00,162.3,12.6
1984,7,16,19,10,159.5,12.3
1984,7,16,19,20,154.3,11.4
1984,7,16,19,30,151.2,10.7
1984,7,16,19,40,148.4,10.1
1984,7,16,19,50,152.2,9.2
1984,7,16,20,00,150.5,8.9
1984,7,16,20,10,146.6,9.2
1984,7,16,20,20,146.6,9.2
1984,7,16,20,30,143.4,8.9
1984,7,16,20,40,135.1,8.5
1984,7,16,20,50,135.1,9.8
1984,7,16,21,00,137.9,11.1
1984,7,16,21,10,134.1,12
1984,7,16,21,20,134.1,13.2
1984,7,16,21,30,131.9,12.3
1984,7,16,21,40,130.5,12.9
1984,7,16,21,50,136.5,13.6
1984,7,16,22,00,136.5,14.2
1984,7,16,22,10,136.2,14.5
1984,7,16,22,20,132.3,14.8
1984,7,16,22,30,132,15.7
1984,7,16,22,40,126,16.1
1984,7,16,22,50,125.3,16.4
1984,7,16,23,00,127.8,16.1
1984,7,16,23,10,130.6,16.1
1984,7,16,23,20,132.3,16.4
1984,7,16,23,30,132,17
1984,7,16,23,40,127.8,17.6
1984,7,16,23,50,129.2,18.2
1984,7,17,0,00,132.3,18.2
1984,7,17,0,10,133.4,18.9
1984,7,17,0,20,134.8,19.2
1984,7,17,0,30,138.9,18.6
1984,7,17,0,40,137.9,18.2
1984,7,17,0,50,139.6,17.9
1984,7,17,1,00,140.7,17.3
1984,7,17,1,10,140.7,17.3
1984,7,17,1,20,141.7,17.3
1984,7,17,1,30,143.8,17.3
1984,7,17,1,40,146.3,17
1984,7,17,1,50,149.1,16.1
1984,7,17,2,00,154.3,15.1
1984,7,17,2,10,154,14.8
1984,7,17,2,20,156.8,13.9
1984,7,17,2,30,153.6,14.2
1984,7,17,2,40,158.8,13.9
1984,7,17,2,50,156.4,12
1984,7,17,3,00,160.9,11.1
1984,7,17,3,10,167.2,10.4
1984,7,17,3,20,167.6,10.1
1984,7,17,3,30,167.2,9.2
1984,7,17,3,40,157.1,8.9
1984,7,17,3,50,153.9,9.5
1984,7,17,4,00,146.6,10.4
1984,7,17,4,10,149.8,11.1
1984,7,17,4,20,148.4,11
1984,7,17,4,30,146.3,11.1
1984,7,17,4,40,147.3,11.1
1984,7,17,4,50,146.3,11.1
1984,7,17,5,00,140.7,11.7
1984,7,17,5,10,146.6,11.1
1984,7,17,5,20,146.3,10.7
1984,7,17,5,30,146.3,10.7
1984,7,17,5,40,143.5,11.4
1984,7,17,5,50,144.5,11.4
1984,7,17,6,00,149.4,10.7
1984,7,17,6,10,147.7,10.4
1984,7,17,6,20,144.2,10.1
1984,7,17,6,30,139,9.8
1984,7,17,6,40,137.9,8.6
1984,7,17,6,50,136.8,7.3
1984,7,17,7,00,141.4,6.4
1984,7,17,7,10,141,5.4
1984,7,17,7,20,139.9,6
1984,7,17,7,30,141.4,5.4
1984,7,17,7,40,136.5,4.8
1984,7,17,7,50,133.3,5.1
1984,7,17,8,00,127.5,5.1
1984,7,17,8,10,114.5,5.4
1984,7,17,8,20,115.9,5.4
1984,7,17,8,30,114.5,6.7
1984,7,17,8,40,115.2,6.7
1984,7,17,8,50,112.4,6.4
1984,7,17,9,00,111.4,7
1984,7,17,9,10,109.6,7
1984,7,17,9,20,112.4,7.6
1984,7,17,9,30,111.7,8.6
1984,7,17,9,40,111.7,9.8
1984,7,17,9,50,114.1,10.1
1984,7,17,10,00,114.5,11.4
1984,7,17,10,10,118.3,12.6
1984,7,17,10,20,119,12.3
1984,7,17,10,30,122.9,13.2
1984,7,17,10,40,122.6,12.9
1984,7,17,10,50,122.6,12.9
1984,7,17,11,00,124.3,13.2
1984,7,17,11,10,120.8,13.9
1984,7,17,11,20,119.7,14.5
1984,7,17,11,30,118.3,15.1
1984,7,17,11,40,118.4,16.1
1984,7,17,11,50,117.3,16.1
1984,7,17,12,00,116.6,15.7
