height,period,angle_from_north
3.4,10.05,3.33357887
2.9,9.45,3.21140582
2.9,9.3,3.38593875
2.8,9,2.98451302
2.2,8.55,2.82743339
2.2,8.85,2.68780705
2,8.85,2.91469985
2,8.85,2.91469985
1.7,8.55,2.70526034
1.5,8.4,2.35619449
1.4,8.55,0
1.6,8.55,0
1.6,8.7,0
1.6,8.55,1.04719755
1.5,8.55,2.3387412
1.4,8.4,2.35619449
1.5,9.15,2.75762022
1.5,8.85,2.68780705
1.4,8.55,2.16420827
1.6,8.4,2.18166156
1.6,8.25,2.37364778
1.9,8.1,2.0943951
2.2,8.1,1.85004901
2.6,8.4,1.74532925
2.1,7.65,1.69296937
1.9,7.5,1.6406095
1.7,7.05,1.43116999
1.8,7.5,1.58824962
1.6,7.5,1.60570291
2,8.25,1.44862328
2.4,8.7,1.51843645
2.4,8.7,1.48352986
2.4,8.85,1.90240888
2,8.25,2.02458193
1.9,8.4,2.23402144
1.9,7.95,1.91986218
1.7,7.5,1.90240888
2.2,8.25,1.6231562
2.5,8.4,1.72787596
2.8,9,1.79768913
2.9,9.3,1.74532925
2.8,8.85,1.65806279
3.4,9.45,1.72787596
3.7,9.6,1.74532925
3.8,10.35,1.81514242
4.7,10.5,1.76278254
5,11.4,1.90240888
4.3,10.65,1.85004901
4,10.5,1.79768913
4.3,10.5,1.81514242
3.4,9.3,1.79768913
3.8,10.05,1.8675023
3.5,9.6,1.83259571
3.5,9.6,1.74532925
3.4,9.75,1.76278254
2.6,8.55,1.79768913
3.1,9.45,1.78023584
2.7,8.4,1.90240888
3,9.15,1.8675023
2.8,9.15,1.90240888
2.8,9.3,1.85004901
2.2,8.1,1.8675023
2.5,8.7,1.78023584
2.2,7.95,1.6406095
1.9,7.8,1.60570291
1.8,7.8,1.90240888
1.6,7.8,1.58824962
1.7,7.65,1.97222205
1.3,7.05,1.51843645
1.3,7.2,1.58824962
1.2,7.05,2.05948852
1.1,7.35,2.35619449
1,7.05,2.37364778
1,7.05,2.53072742
1,7.2,2.91469985
0.8,6.9,3.0368729
1,7.05,3.00196631
0.9,6.45,3.33357887
0.8,6.6,3.5081118
0.8,6.3,4.11897703
0.8,6.9,3.76991118
0.8,6,3.80481777
0.8,6.3,5.32325422
1.1,6.15,5.14872129
1.1,6.15,0.26179939
1,6.3,1.41371669
2,8.1,2.14675498
2.3,8.25,2.16420827
2.4,8.1,2.19911486
2.4,8.1,2.25147474
2.2,8.1,2.30383461
2,7.8,2.39110108
1.9,7.5,2.565634
1.5,7.2,2.47836754
1.5,6.75,2.68780705
1.4,6.75,2.82743339
1.4,6.6,2.74016693
1.4,6.6,2.74016693
1.7,6.6,2.67035376
1.7,6.75,2.63544717
2.4,7.65,2.65290046
2.3,7.5,2.68780705
3.2,8.55,2.93215314
3.4,8.85,2.89724656
3.7,9.6,2.86233997
3.3,8.85,2.96705973
4,9.75,2.86233997
4.3,10.35,2.91469985
5.2,10.8,2.91469985
3.9,10.2,3.0368729
3.9,9.9,3.07177948
3.6,9.75,3.00196631
3,8.85,3.10668607
2.9,8.85,3.14159265
2.6,8.1,3.29867229
3.1,9.3,2.91469985
2.5,8.7,3.28121899
2.4,9.15,3.38593875
2.1,8.55,2.94960644
2.4,9.15,2.68780705
2,8.85,3.68264472
1.9,8.85,4.11897703
1.7,8.25,4.41568301
1.7,7.5,4.64257581
1.5,7.8,6.17846555
1.8,7.8,0.06981317
1.7,7.35,0.31415927
1.5,7.8,0.17453293
1.5,7.8,0.38397244
1.9,8.55,1.78023584
1.8,8.55,2.67035376
2,8.55,2.63544717
2.3,8.1,2.70526034
2.4,8.4,2.89724656
1.9,7.8,2.72271363
1.9,8.25,2.74016693
